港澳频道,#genre#
AMC电影台[720p],http://61.221.215.25:8800/hls/43/index.m3u8
SunsetMovie,https://stream.sunset-media.ru/Free/Free/1.m3u8
SunsetMovie,https://stream.sunset-media.ru:443/Free/Free/1.m3u8
TVBJade翡翠台720p[720p],https://cloudfront41.lexanetwork.com:1344/relay01/livestream002.sdp/playlist.m3u8
TVBJade翡翠台CantoneseSubtitles720p,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv
TVBPlus,http://61.238.177.254:30261/stream/channelid/112716350
TVBSAsia,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
TVBS,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBSNEWS[720p],http://61.221.215.25:8800/hls/9/index.m3u8
TVBS,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS[720p],http://37.27.111.214:8080/live/23/hls.m3u8
八大第一[720p],http://61.221.215.25:8800/hls/55/index.m3u8
八大戏剧[720p],http://61.221.215.25:8800/hls/39/index.m3u8
八大综合[720p],http://61.221.215.25:8800/hls/56/index.m3u8
大爱1台[720p],https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱1[720p],https://pulltv2.wanfudaluye.com/live/tv1.m3u8
大爱2台[720p],https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大爱2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV47.m3u8
大爱2[720p],https://pulltv1.wanfudaluye.com/live/tv2.m3u8
大爱,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV30.m3u8
大立电视[720p],http://www.dalitv.com.tw:4568/live/dali/index.m3u8
东森新闻[720p],http://37.27.111.214:8080/live/20/hls.m3u8
动物星球[720p],http://61.221.215.25:8800/hls/57/index.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
番薯电视台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8?blog.ntnas.top
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8?$2M1920x1080
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8?$2M1920x1080
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8?$2M1920x1080
番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
翡翠台,http://61.238.177.254:30261/stream/channelid/1548166379
凤凰资讯[720p],http://61.221.215.25:8800/hls/47/index.m3u8
华视[720p],http://37.27.111.214:8080/live/8/hls.m3u8
寰宇新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
龙华电影台[720p],http://37.27.111.214:8080/live/19/hls.m3u8
民视[720p],http://37.27.111.214:8080/live/6/hls.m3u8
民视第一[720p],http://37.27.111.214:8080/live/4/hls.m3u8
民视台湾[720p],http://37.27.111.214:8080/live/5/hls.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
三立戏剧台[720p],http://61.221.215.25:8800/hls/41/index.m3u8
三立综合[720p],http://37.27.111.214:8080/live/31/hls.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
探案台[720p],http://37.27.111.214:8080/live/11/hls.m3u8
纬来精彩[720p],http://61.221.215.25:8800/hls/48/index.m3u8
无线直播[720p],https://edge6a.v2h-cdn.com/liveshow/liveshow.stream/chunklist.m3u8
无线直播[720p],https://edge6a.v2h-cdn.com/liveshow/liveshow.stream/playlist.m3u8
中视[720p],http://37.27.111.214:8080/live/7/hls.m3u8
中天新闻,http://211.72.65.236:8541/.m3u8
中天新闻台1080p,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
猪哥亮[720p],http://37.27.111.214:8080/live/35/hls.m3u8
